SOC_pct,delta_50C_minus_25C_V,delta_0C_minus_25C_V
0.0,0.18100000000000005,0.0
1.0,0.0941015692411078,-0.021059076754351036
2.0,0.0715517089463944,-0.016255408330315024
3.0,0.05721567802590721,-0.012801944895326933
4.0,0.04377261031903723,-0.0100241180566627
5.0,0.02870621864038636,-0.006067531347273558
6.0,0.022915111535925625,-0.0016137694343743014
7.0,0.01868975945877871,-0.0016705671140773148
8.0,0.016379345220630892,-0.0012529151070852507
9.0,0.014674223259386387,-0.0006661921478765542
10.0,0.012835917099581096,-0.0011211422902079882
11.0,0.011737903577626607,-0.0008351269942479256
12.0,0.011695117603942151,-0.0008131568032387904
13.0,0.01066674722550065,-0.0007693259023247023
14.0,0.012761387720561235,-0.0007472297402291161
15.0,0.01863923778475396,-0.0020658081109901083
16.0,0.017319875531729867,-0.0032713527130061593
17.0,0.015310245601487082,-0.0032420646664093056
18.0,0.01597972308549167,-0.0028683530792865675
19.0,0.013790069689812334,-0.0018408564079339662
20.0,0.011626895159743356,-0.0019233631938697648
21.0,0.010486418221488769,-0.0014067938024591164
22.0,0.009480471199936336,-0.0018315457399125101
23.0,0.009203294880570478,-0.0010220431300496102
24.0,0.009106244844686362,-0.0010219604694845508
25.0,0.009041711982621603,-0.0010219439897585225
26.0,0.008259888062653431,-0.0013625050636836278
27.0,0.008225074822660439,-0.0009889862738718946
28.0,0.008196078452250788,-0.0013185673666762376
29.0,0.008323108423709868,-0.0006373540233535202
30.0,0.01074764831800179,-0.0006153427277419965
31.0,0.013139523972605982,-0.0006153589830870665
32.0,0.014653405032592826,-0.0006097302201144572
33.0,0.014597065253076025,-0.0005933736612804275
34.0,0.014249761794459026,-0.0005933853376260956
35.0,0.014484125149655025,-0.0005890375049828478
36.0,0.0142398175615015,-0.0005714659490352325
37.0,0.014378467329945632,0.00026377732612292704
38.0,0.013316765202555203,-0.0005714580992854934
39.0,0.014219500252073303,-0.0005494941483750182
40.0,0.013604545787677669,-0.00015396649562671172
41.0,0.014166204514642011,-0.0005275403554789726
42.0,0.01323197964331202,-0.000505579446032911
43.0,0.013366136614358926,-0.0002527770638929283
44.0,0.01399841362301224,-0.0005055687169690515
45.0,0.013950711333233556,-0.00048361764480553404
46.0,0.01388596406304421,-0.00048362048705197225
47.0,0.013843014794576725,0.0004943483083490463
48.0,0.013365212386083236,-0.0004835867127237492
49.0,0.013723591309521055,-0.0004616049601007255
50.0,0.01369249234358838,-0.00043963069133523547
51.0,0.013062529837740033,-0.0004396273972262499
52.0,0.013485886740074893,-0.0005165448371760029
53.0,0.013780035598320861,0.00037353960197483715
54.0,0.01341573794185802,-0.0006264718594608532
55.0,0.01261836766574298,-0.0005990027262150477
56.0,0.012706059331880404,-0.0005935074634160209
57.0,0.013456847442042008,-0.0005934906778493065
58.0,0.01339271111863427,-0.0005348128909963279
59.0,0.01339178340599112,-0.0005054951700609323
60.0,0.014304312786514117,-0.00044335899360525843
61.0,0.015117003157872677,-0.0006715364149449954
62.0,0.015984048786036986,-0.0006593404050589946
63.0,0.018801632682505787,-0.0005053949149820269
64.0,0.02064019189928512,-0.0008240475336567243
65.0,0.0216219387003882,-0.0015711514983416386
66.0,0.021228183640537246,-0.001142697303008866
67.0,0.018657280341606075,-0.0019228987020531996
68.0,0.016517403093385674,-0.0014503461757264802
69.0,0.015431839262471048,-0.0008570176439097743
70.0,0.01402189195753456,-0.0006765829912347421
71.0,0.013907718505503208,-9.666115357287453e-05
72.0,0.011769826592401333,-0.0006043507564088557
73.0,0.01160801743562212,-0.000604273314757986
74.0,0.01150057954508199,-0.0005779724653209861
75.0,0.011338709085050969,-0.0005492357564627071
76.0,0.011220728171148053,-0.0005492083047680119
77.0,0.011069410985346195,0.00045082550313679803
78.0,0.010907568843583793,-0.0004942717287432785
79.0,0.01080008775866581,-0.0004943181648759953
80.0,0.010653218608561055,-0.00046922785282088597
81.0,0.010157195504227001,-0.00046138250014982063
82.0,0.010423813251168479,-5.488126530783788e-05
83.0,0.010109439773923423,-7.680219686445611e-05
84.0,0.010154371547777874,-0.00032960874251974914
85.0,0.010006502734247302,-5.4965721727029404e-05
86.0,0.009566360648401329,-0.00039562221678401954
87.0,0.010067871879217094,0.0003865438480428196
88.0,0.009900252013534505,-0.0003296029281338875
89.0,0.009997262431514997,-7.691951069155323e-05
90.0,0.010598320129342476,-0.0003029033127370795
91.0,0.009932976336851418,-0.0001977255105334308
92.0,0.010117300312527,-0.0002307238792127464
93.0,0.009141672870603301,-0.00019783601642320292
94.0,0.00926342007285541,-0.00013185172592855565
95.0,0.009072104995282437,-0.0001318989769956147
96.0,0.009754424205332235,0.0007801987193074567
97.0,0.008527690480795158,-0.00013190006576557778
98.0,0.009325823520534904,-0.00012090035315193148
99.0,0.008172118639360626,-8.792043724437093e-05
100.0,0.0019999999999997797,-0.001000000000000334
