SOC_pct,OCV_discharge_V,OCV_charge_V,OCV_avg_V
0.0,3.181,,3.181
1.0,3.290907895821732,,3.290907895821732
2.0,3.3448870836365705,,3.3448870836365705
3.0,3.3902115513656477,,3.3902115513656477
4.0,3.4237367115661286,,3.4237367115661286
5.0,3.439386159969622,,3.439386159969622
6.0,3.4477385375171887,,3.4477385375171887
7.0,3.453260590040172,,3.453260590040172
8.0,3.458741531366322,,3.458741531366322
9.0,3.463064932878018,,3.463064932878018
10.0,3.467967495388265,,3.467967495388265
11.0,3.4718693466851027,,3.4718693466851027
12.0,3.476760654587094,,3.476760654587094
13.0,3.4806664773853035,,3.4806664773853035
14.0,3.4876950825882957,,3.4876950825882957
15.0,3.50041884293319,,3.50041884293319
16.0,3.5109235862036043,,3.5109235862036043
17.0,3.5207821805751576,,3.5207821805751576
18.0,3.531429781396788,,3.531429781396788
19.0,3.5391301937378024,,3.5391301937378024
20.0,3.545967148930455,,3.545967148930455
21.0,3.552738813011155,,3.552738813011155
22.0,3.558644945098761,,3.558644945098761
23.0,3.564510681432772,,3.564510681432772
24.0,3.57034765090283,,3.57034765090283
25.0,3.576217188115032,,3.576217188115032
26.0,3.581369424287765,,3.581369424287765
27.0,3.58626867555957,,3.58626867555957
28.0,3.5911737575902,,3.5911737575902
29.0,3.595597609121475,,3.595597609121475
30.0,3.601956203971509,,3.601956203971509
31.0,3.6083041413929475,,3.6083041413929475
32.0,3.613774059759995,,3.613774059759995
33.0,3.6176737570083755,,3.6176737570083755
34.0,3.6212825269189604,,3.6212825269189604
35.0,3.6244729697796556,,3.6244729697796556
36.0,3.6281847153049736,,3.6281847153049736
37.0,3.6312794296394273,,3.6312794296394273
38.0,3.634173764057448,,3.634173764057448
39.0,3.6380325355662695,,3.6380325355662695
40.0,3.6409781058192534,,3.6409781058192534
41.0,3.644869382014351,,3.644869382014351
42.0,3.647891223539781,,3.647891223539781
43.0,3.651673785126999,,3.651673785126999
44.0,3.6555697600878356,,3.6555697600878356
45.0,3.6594781329480788,,3.6594781329480788
46.0,3.663369438726165,,3.663369438726165
47.0,3.667282518767479,,3.667282518767479
48.0,3.6717607588441603,,3.6717607588441603
49.0,3.6760751999623142,,3.6760751999623142
50.0,3.6809781745843466,,3.6809781745843466
51.0,3.6853042503699585,,3.6853042503699585
52.0,3.6907825531102154,,3.6907825531102154
53.0,3.696010781542806,,3.696010781542806
54.0,3.7015805730635694,,3.7015805730635694
55.0,3.7067172884252164,,3.7067172884252164
56.0,3.712739025950829,,3.712739025950829
57.0,3.7194238479077715,,3.7194238479077715
58.0,3.7262607840031636,,3.7262607840031636
59.0,3.733171930018296,,3.733171930018296
60.0,3.7409563966834525,,3.7409563966834525
61.0,3.7496773270510135,,3.7496773270510135
62.0,3.7584564750898957,,3.7584564750898957
63.0,3.770032211486028,,3.770032211486028
64.0,3.781760864968666,,3.781760864968666
65.0,3.793434806395677,,3.793434806395677
66.0,3.804129061207095,,3.804129061207095
67.0,3.814206482469386,,3.814206482469386
68.0,3.823934749818043,,3.823934749818043
69.0,3.833717369128212,,3.833717369128212
70.0,3.8434456694646872,,3.8434456694646872
71.0,3.853204300153064,,3.853204300153064
72.0,3.8619565131311986,,3.8619565131311986
73.0,3.871684792149523,,3.871684792149523
74.0,3.881467420381743,,3.881467420381743
75.0,3.8911956745846075,,3.8911956745846075
76.0,3.9009677854720155,,3.9009677854720155
77.0,3.9107065763121507,,3.9107065763121507
78.0,3.921434870581919,,3.921434870581919
79.0,3.931217525581274,,3.931217525581274
80.0,3.941935683772318,,3.941935683772318
81.0,3.9517284804718487,,3.9517284804718487
82.0,3.9624566581795615,,3.9624566581795615
83.0,3.9730324098249534,,3.9730324098249534
84.0,3.9839674713715945,,3.9839674713715945
85.0,3.9947097830200873,,3.9947097830200873
86.0,4.0054783780785455,,4.0054783780785455
87.0,4.016847983880671,,4.016847983880671
88.0,4.028548529618711,,4.028548529618711
89.0,4.040260996658629,,4.040260996658629
90.0,4.051967864029648,,4.051967864029648
91.0,4.063119726510756,,4.063119726510756
92.0,4.075348022098623,,4.075348022098623
93.0,4.087064713767636,,4.087064713767636
94.0,4.099054592665503,,4.099054592665503
95.0,4.111731464676915,,4.111731464676915
96.0,4.12436981161829,,4.12436981161829
97.0,4.136989232618775,,4.136989232618775
98.0,4.150677521717469,,4.150677521717469
99.0,4.164347993909233,,4.164347993909233
100.0,4.189,,4.189
