dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,1000,,ACIR,2022-11-29,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\ACIR\22_11_29_에기연 열화셀_25deg_1000cycle_ACIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1100,,ACIR,2022-12-07,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\ACIR\22_12_07_에기연 열화셀_25deg_1100cycle_ACIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1200,,ACIR,2022-12-19,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\ACIR\22_12_19_에기연 열화셀_25deg_1200cycle_ACIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1300,,ACIR,2022-12-28,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\ACIR\22_12_28_에기연 열화셀_25deg_1300cycle_ACIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,3000,,ACIR,2023-05-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\ACIR\23_05_23_에기연 열화셀_25deg_3000cycle_ACIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,0,,DCIR,2022-09-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_09_21_에기연 열화셀_25deg_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,100,,DCIR,2022-09-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_09_27_에기연 열화셀_25deg_100cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,200,,DCIR,2022-10-06,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_06_에기연 열화셀_25deg_200cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,300,,DCIR,2022-10-13,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_13_에기연 열화셀_25deg_300cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,400,,DCIR,2022-10-19,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_19_에기연 열화셀_25deg_400cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,500,,DCIR,2022-10-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_27_에기연 열화셀_25deg_500cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,600,,DCIR,2022-11-02,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_02_에기연 열화셀_25deg_600cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,700,,DCIR,2022-11-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_09_에기연 열화셀_25deg_700cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,800,,DCIR,2022-11-16,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_16_에기연 열화셀_25deg_800cycle_DCIR_ch2_M01Ch002(002).csv,
